lb_nom_key,cd_nom_key,lb_cd_nom_key,regne_key,groupe,group1_inpn,code_espece_key,version_taxref,sortby
"Amaurodon <b><span style=""color:#02138e"">(nom valide)</span></b>",460770,Amaurodon!460770,Fungi,Autres,Basidiomycètes,ama,15,84
"Amblyosporium <b><span style=""color:#02138e"">(nom valide)</span></b>",864145,Amblyosporium!864145,Fungi,Autres,Ascomycètes,amb,15,85
"Amicodisca <b><span style=""color:#02138e"">(nom valide)</span></b>",858682,Amicodisca!858682,Fungi,Autres,Ascomycètes,ami,15,86
"Amniculicola <b><span style=""color:#02138e"">(nom valide)</span></b>",867030,Amniculicola!867030,Fungi,Autres,Ascomycètes,amn,15,87
"Amorphotheca <b><span style=""color:#02138e"">(nom valide)</span></b>",865004,Amorphotheca!865004,Fungi,Autres,Ascomycètes,amo,15,88
"Ampelomyces <b><span style=""color:#02138e"">(nom valide)</span></b>",864154,Ampelomyces!864154,Fungi,Autres,Ascomycètes,amp,15,89
"Amphiacantha <b><span style=""color:#02138e"">(nom valide)</span></b>",950502,Amphiacantha!950502,Fungi,Autres,Autres,amp,15,90
"Amphiamblys <b><span style=""color:#02138e"">(nom valide)</span></b>",950496,Amphiamblys!950496,Fungi,Autres,Autres,amp,15,91
"Amphilogia <b><span style=""color:#02138e"">(nom valide)</span></b>",864157,Amphilogia!864157,Fungi,Autres,Ascomycètes,amp,15,92
"Amphinema <b><span style=""color:#02138e"">(nom valide)</span></b>",189081,Amphinema!189081,Fungi,Autres,Basidiomycètes,amp,15,93
"Amphiporthe <b><span style=""color:#02138e"">(nom valide)</span></b>",864159,Amphiporthe!864159,Fungi,Autres,Ascomycètes,amp,15,94
"Amphisphaerella <b><span style=""color:#02138e"">(nom valide)</span></b>",189089,Amphisphaerella!189089,Fungi,Autres,Ascomycètes,amp,15,95
"Amphisphaeria <b><span style=""color:#02138e"">(nom valide)</span></b>",189090,Amphisphaeria!189090,Fungi,Autres,Ascomycètes,amp,15,96
"Ampullifera <b><span style=""color:#02138e"">(nom valide)</span></b>",653137,Ampullifera!653137,Fungi,Autres,Ascomycètes,amp,15,97
"Ampulloclitocybe <b><span style=""color:#02138e"">(nom valide)</span></b>",460772,Ampulloclitocybe!460772,Fungi,Autres,Basidiomycètes,amp,15,98
"Amygdalaria <b><span style=""color:#02138e"">(nom valide)</span></b>",189098,Amygdalaria!189098,Fungi,Autres,Ascomycètes,amy,15,99
