lb_nom_key,cd_nom_key,lb_cd_nom_key,regne_key,groupe,group1_inpn,code_espece_key,version_taxref,sortby
"Aethusa <b><span style=""color:#02138e"">(nom valide)</span></b>",188862,Aethusa!188862,Plantae,Angiospermes,Trachéophytes,aet,15,43
"Agapanthus <b><span style=""color:#02138e"">(nom valide)</span></b>",188867,Agapanthus!188867,Plantae,Angiospermes,Trachéophytes,aga,15,44
"Agastache <b><span style=""color:#02138e"">(nom valide)</span></b>",788759,Agastache!788759,Plantae,Angiospermes,Trachéophytes,aga,15,45
"Agave <b><span style=""color:#02138e"">(nom valide)</span></b>",188872,Agave!188872,Plantae,Angiospermes,Trachéophytes,aga,15,46
"Ageratina <b><span style=""color:#02138e"">(nom valide)</span></b>",188877,Ageratina!188877,Plantae,Angiospermes,Trachéophytes,age,15,47
"Ageratum <b><span style=""color:#02138e"">(nom valide)</span></b>",188878,Ageratum!188878,Plantae,Angiospermes,Trachéophytes,age,15,48
"Agrimonia <b><span style=""color:#02138e"">(nom valide)</span></b>",188897,Agrimonia!188897,Plantae,Angiospermes,Trachéophytes,agr,15,49
"Agropyron <b><span style=""color:#02138e"">(nom valide)</span></b>",188907,Agropyron!188907,Plantae,Angiospermes,Trachéophytes,agr,15,50
"Agrostemma <b><span style=""color:#02138e"">(nom valide)</span></b>",188908,Agrostemma!188908,Plantae,Angiospermes,Trachéophytes,agr,15,51
"Agrostis <b><span style=""color:#02138e"">(nom valide)</span></b>",188909,Agrostis!188909,Plantae,Angiospermes,Trachéophytes,agr,15,52
"Ailanthus <b><span style=""color:#02138e"">(nom valide)</span></b>",188912,Ailanthus!188912,Plantae,Angiospermes,Trachéophytes,ail,15,53
"Aira <b><span style=""color:#02138e"">(nom valide)</span></b>",188915,Aira!188915,Plantae,Angiospermes,Trachéophytes,air,15,54
"Airopsis <b><span style=""color:#02138e"">(nom valide)</span></b>",188917,Airopsis!188917,Plantae,Angiospermes,Trachéophytes,air,15,55
"Ajuga <b><span style=""color:#02138e"">(nom valide)</span></b>",188919,Ajuga!188919,Plantae,Angiospermes,Trachéophytes,aju,15,56
"Akebia <b><span style=""color:#02138e"">(nom valide)</span></b>",188920,Akebia!188920,Plantae,Angiospermes,Trachéophytes,ake,15,57
"Albizia <b><span style=""color:#02138e"">(nom valide)</span></b>",188931,Albizia!188931,Plantae,Angiospermes,Trachéophytes,alb,15,58
"Alcea <b><span style=""color:#02138e"">(nom valide)</span></b>",188937,Alcea!188937,Plantae,Angiospermes,Trachéophytes,alc,15,59
"Alchemilla <b><span style=""color:#02138e"">(nom valide)</span></b>",188940,Alchemilla!188940,Plantae,Angiospermes,Trachéophytes,alc,15,60
"Alhagi <b><span style=""color:#02138e"">(nom valide)</span></b>",967568,Alhagi!967568,Plantae,Angiospermes,Trachéophytes,alh,15,61
"Alisma <b><span style=""color:#02138e"">(nom valide)</span></b>",188962,Alisma!188962,Plantae,Angiospermes,Trachéophytes,ali,15,62
"Alkanna <b><span style=""color:#02138e"">(nom valide)</span></b>",188963,Alkanna!188963,Plantae,Angiospermes,Trachéophytes,alk,15,63
"Alleniella <b><span style=""color:#02138e"">(nom valide)</span></b>",786241,Alleniella!786241,Plantae,Mousses,Bryophytes,all,15,64
"Alliaria <b><span style=""color:#02138e"">(nom valide)</span></b>",188969,Alliaria!188969,Plantae,Angiospermes,Trachéophytes,all,15,65
"Allium <b><span style=""color:#02138e"">(nom valide)</span></b>",188971,Allium!188971,Plantae,Angiospermes,Trachéophytes,all,15,66
"Allocasuarina <b><span style=""color:#02138e"">(nom valide)</span></b>",188973,Allocasuarina!188973,Plantae,Angiospermes,Trachéophytes,all,15,67
"Alnus <b><span style=""color:#02138e"">(nom valide)</span></b>",939298,Alnus!939298,Plantae,Angiospermes,Trachéophytes,aln,15,68
"Aloe <b><span style=""color:#02138e"">(nom valide)</span></b>",446221,Aloe!446221,Plantae,Angiospermes,Trachéophytes,alo,15,69
"Aloina <b><span style=""color:#02138e"">(nom valide)</span></b>",188989,Aloina!188989,Plantae,Mousses,Bryophytes,alo,15,70
"Alopecurus <b><span style=""color:#02138e"">(nom valide)</span></b>",188993,Alopecurus!188993,Plantae,Angiospermes,Trachéophytes,alo,15,71
"Aloysia <b><span style=""color:#02138e"">(nom valide)</span></b>",189000,Aloysia!189000,Plantae,Angiospermes,Trachéophytes,alo,15,72
"Alstroemeria <b><span style=""color:#02138e"">(nom valide)</span></b>",189005,Alstroemeria!189005,Plantae,Angiospermes,Trachéophytes,als,15,73
"Alternanthera <b><span style=""color:#02138e"">(nom valide)</span></b>",189007,Alternanthera!189007,Plantae,Angiospermes,Trachéophytes,alt,15,74
"Althaea <b><span style=""color:#02138e"">(nom valide)</span></b>",189008,Althaea!189008,Plantae,Angiospermes,Trachéophytes,alt,15,75
"Althenia <b><span style=""color:#02138e"">(nom valide)</span></b>",189009,Althenia!189009,Plantae,Angiospermes,Trachéophytes,alt,15,76
"Alyssoides <b><span style=""color:#02138e"">(nom valide)</span></b>",947954,Alyssoides!947954,Plantae,Angiospermes,Trachéophytes,aly,15,77
"Alyssum <b><span style=""color:#02138e"">(nom valide)</span></b>",189013,Alyssum!189013,Plantae,Angiospermes,Trachéophytes,aly,15,78
"Amaranthus <b><span style=""color:#02138e"">(nom valide)</span></b>",189023,Amaranthus!189023,Plantae,Angiospermes,Trachéophytes,ama,15,79
"Amaryllis <b><span style=""color:#02138e"">(nom valide)</span></b>",189025,Amaryllis!189025,Plantae,Angiospermes,Trachéophytes,ama,15,80
"Amblyodon <b><span style=""color:#02138e"">(nom valide)</span></b>",189033,Amblyodon!189033,Plantae,Mousses,Bryophytes,amb,15,81
"Amblyopyrum <b><span style=""color:#02138e"">(nom valide)</span></b>",189034,Amblyopyrum!189034,Plantae,Angiospermes,Trachéophytes,amb,15,82
"Amblystegium <b><span style=""color:#02138e"">(nom valide)</span></b>",189035,Amblystegium!189035,Plantae,Mousses,Bryophytes,amb,15,83
"Ambrosia <b><span style=""color:#02138e"">(nom valide)</span></b>",189037,Ambrosia!189037,Plantae,Angiospermes,Trachéophytes,amb,15,84
"Ambrosina <b><span style=""color:#02138e"">(nom valide)</span></b>",189038,Ambrosina!189038,Plantae,Angiospermes,Trachéophytes,amb,15,85
"Amelanchier <b><span style=""color:#02138e"">(nom valide)</span></b>",189040,Amelanchier!189040,Plantae,Angiospermes,Trachéophytes,ame,15,86
"Amelichloa <b><span style=""color:#02138e"">(nom valide)</span></b>",788763,Amelichloa!788763,Plantae,Angiospermes,Trachéophytes,ame,15,87
"Ammannia <b><span style=""color:#02138e"">(nom valide)</span></b>",189047,Ammannia!189047,Plantae,Angiospermes,Trachéophytes,amm,15,88
"Ammi <b><span style=""color:#02138e"">(nom valide)</span></b>",189048,Ammi!189048,Plantae,Angiospermes,Trachéophytes,amm,15,89
"Ammochloa <b><span style=""color:#02138e"">(nom valide)</span></b>",189050,Ammochloa!189050,Plantae,Angiospermes,Trachéophytes,amm,15,90
"Ammoides <b><span style=""color:#02138e"">(nom valide)</span></b>",189052,Ammoides!189052,Plantae,Angiospermes,Trachéophytes,amm,15,91
"Ammophila <b><span style=""color:#02138e"">(nom valide)</span></b>",189055,Ammophila!189055,Plantae,Angiospermes,Trachéophytes,amm,15,92
"Amorpha <b><span style=""color:#02138e"">(nom valide)</span></b>",189061,Amorpha!189061,Plantae,Angiospermes,Trachéophytes,amo,15,93
"Ampelodesmos <b><span style=""color:#02138e"">(nom valide)</span></b>",189065,Ampelodesmos!189065,Plantae,Angiospermes,Trachéophytes,amp,15,94
"Amphidium <b><span style=""color:#02138e"">(nom valide)</span></b>",189073,Amphidium!189073,Plantae,Mousses,Bryophytes,amp,15,95
"Amsinckia <b><span style=""color:#02138e"">(nom valide)</span></b>",189096,Amsinckia!189096,Plantae,Angiospermes,Trachéophytes,ams,15,96
"Anacamptis <b><span style=""color:#02138e"">(nom valide)</span></b>",189109,Anacamptis!189109,Plantae,Angiospermes,Trachéophytes,ana,15,97
"Anacamptodon <b><span style=""color:#02138e"">(nom valide)</span></b>",189110,Anacamptodon!189110,Plantae,Mousses,Bryophytes,ana,15,98
"Anacolia <b><span style=""color:#02138e"">(nom valide)</span></b>",189113,Anacolia!189113,Plantae,Mousses,Bryophytes,ana,15,99
