lb_nom_key,cd_nom_key,lb_cd_nom_key,regne_key,groupe,group1_inpn,code_espece_key,version_taxref,sortby
"Acompus <b><span style=""color:#02138e"">(nom valide)</span></b>",207400,Acompus!207400,Animalia,Insectes,Arthropodes,aco,15,156
"Acontia <b><span style=""color:#02138e"">(nom valide)</span></b>",211149,Acontia!211149,Animalia,Insectes,Arthropodes,aco,15,157
"Acontiophorus <b><span style=""color:#02138e"">(nom valide)</span></b>",356904,Acontiophorus!356904,Animalia,Crustacés,Arthropodes,aco,15,158
"Aconurella <b><span style=""color:#02138e"">(nom valide)</span></b>",206794,Aconurella!206794,Animalia,Insectes,Arthropodes,aco,15,159
"Acopauropus <b><span style=""color:#02138e"">(nom valide)</span></b>",212746,Acopauropus!212746,Animalia,Myriapodes,Arthropodes,aco,15,160
"Acosmetia <b><span style=""color:#02138e"">(nom valide)</span></b>",211161,Acosmetia!211161,Animalia,Insectes,Arthropodes,aco,15,161
"Acossus <b><span style=""color:#02138e"">(nom valide)</span></b>",841729,Acossus!841729,Animalia,Insectes,Arthropodes,aco,15,162
"Acricotopus <b><span style=""color:#02138e"">(nom valide)</span></b>",188770,Acricotopus!188770,Animalia,Insectes,Arthropodes,acr,15,163
"Acrida <b><span style=""color:#02138e"">(nom valide)</span></b>",188771,Acrida!188771,Animalia,Insectes,Arthropodes,acr,15,164
"Acridomyia <b><span style=""color:#02138e"">(nom valide)</span></b>",205489,Acridomyia!205489,Animalia,Insectes,Arthropodes,acr,15,165
"Acridotheres <b><span style=""color:#02138e"">(nom valide)</span></b>",199259,Acridotheres!199259,Animalia,Oiseaux,Chordés,acr,15,166
"Acrilloscala <b><span style=""color:#02138e"">(nom valide)</span></b>",353697,Acrilloscala!353697,Animalia,Gastéropodes,Mollusques,acr,15,167
"Acritus <b><span style=""color:#02138e"">(nom valide)</span></b>",204928,Acritus!204928,Animalia,Insectes,Arthropodes,acr,15,168
"Acrobasis <b><span style=""color:#02138e"">(nom valide)</span></b>",211334,Acrobasis!211334,Animalia,Insectes,Arthropodes,acr,15,169
"Acrobelesia <b><span style=""color:#02138e"">(nom valide)</span></b>",841536,Acrobelesia!841536,Animalia,Autres,Autres,acr,15,170
"Acrocalanus <b><span style=""color:#02138e"">(nom valide)</span></b>",356087,Acrocalanus!356087,Animalia,Crustacés,Arthropodes,acr,15,171
"Acrocephalus <b><span style=""color:#02138e"">(nom valide)</span></b>",188772,Acrocephalus!188772,Animalia,Oiseaux,Chordés,acr,15,172
"Acrocera <b><span style=""color:#02138e"">(nom valide)</span></b>",188773,Acrocera!188773,Animalia,Insectes,Arthropodes,acr,15,173
"Acrocercops <b><span style=""color:#02138e"">(nom valide)</span></b>",210713,Acrocercops!210713,Animalia,Insectes,Arthropodes,acr,15,174
"Acroclita <b><span style=""color:#02138e"">(nom valide)</span></b>",211561,Acroclita!211561,Animalia,Insectes,Arthropodes,acr,15,175
"Acrodactyla <b><span style=""color:#02138e"">(nom valide)</span></b>",209623,Acrodactyla!209623,Animalia,Insectes,Arthropodes,acr,15,176
"Acrogalumna <b><span style=""color:#02138e"">(nom valide)</span></b>",201366,Acrogalumna!201366,Animalia,Arachnides,Arthropodes,acr,15,177
"Acrolepia <b><span style=""color:#02138e"">(nom valide)</span></b>",211646,Acrolepia!211646,Animalia,Insectes,Arthropodes,acr,15,178
"Acrolepiopsis <b><span style=""color:#02138e"">(nom valide)</span></b>",211645,Acrolepiopsis!211645,Animalia,Insectes,Arthropodes,acr,15,179
"Acrolocha <b><span style=""color:#02138e"">(nom valide)</span></b>",205205,Acrolocha!205205,Animalia,Insectes,Arthropodes,acr,15,180
"Acroloxus <b><span style=""color:#02138e"">(nom valide)</span></b>",188776,Acroloxus!188776,Animalia,Gastéropodes,Mollusques,acr,15,181
"Acrolyta <b><span style=""color:#02138e"">(nom valide)</span></b>",209626,Acrolyta!209626,Animalia,Insectes,Arthropodes,acr,15,182
"Acrometopa <b><span style=""color:#02138e"">(nom valide)</span></b>",188777,Acrometopa!188777,Animalia,Insectes,Arthropodes,acr,15,183
"Acronicta <b><span style=""color:#02138e"">(nom valide)</span></b>",211146,Acronicta!211146,Animalia,Insectes,Arthropodes,acr,15,184
"Acroperus <b><span style=""color:#02138e"">(nom valide)</span></b>",188778,Acroperus!188778,Animalia,Crustacés,Arthropodes,acr,15,185
"Acrophylax <b><span style=""color:#02138e"">(nom valide)</span></b>",212351,Acrophylax!212351,Animalia,Insectes,Arthropodes,acr,15,186
"Acropimpla <b><span style=""color:#02138e"">(nom valide)</span></b>",209617,Acropimpla!209617,Animalia,Insectes,Arthropodes,acr,15,187
"Acropsilus <b><span style=""color:#02138e"">(nom valide)</span></b>",205675,Acropsilus!205675,Animalia,Insectes,Arthropodes,acr,15,188
"Acroricnus <b><span style=""color:#02138e"">(nom valide)</span></b>",209634,Acroricnus!209634,Animalia,Insectes,Arthropodes,acr,15,189
"Acrosathe <b><span style=""color:#02138e"">(nom valide)</span></b>",188780,Acrosathe!188780,Animalia,Insectes,Arthropodes,acr,15,190
"Acrossus <b><span style=""color:#02138e"">(nom valide)</span></b>",200273,Acrossus!200273,Animalia,Insectes,Arthropodes,acr,15,191
"Acrosternum <b><span style=""color:#02138e"">(nom valide)</span></b>",207530,Acrosternum!207530,Animalia,Insectes,Arthropodes,acr,15,192
"Acrotomus <b><span style=""color:#02138e"">(nom valide)</span></b>",209636,Acrotomus!209636,Animalia,Insectes,Arthropodes,acr,15,193
